,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1,77149.42,77555.37,79403.484,77193.266,76761.484,77984.68,78643.0,78386.44,78298.836,77788.52,75378.15,77327.14,76536.266,77723.92,78242.11,78247.67,79335.57
2,76211.94,75873.29,76761.125,76984.266,75169.375,75940.44,76724.91,76504.945,77178.72,76153.59,74903.53,76259.875,75493.83,76816.51,77004.875,75925.734,76695.47
3,74543.46,74664.92,74387.25,75090.76,74542.4,74372.54,75386.99,74506.99,74553.05,74305.445,73184.45,76474.14,74749.125,75485.43,77182.25,74306.586,75218.914
4,71124.73,71488.42,72530.21,69680.805,69432.46,70420.2,70940.266,70346.805,71674.34,69786.53,68722.6,71133.625,69864.68,69939.61,70369.055,71200.37,72732.766
5,73108.31,73260.24,73584.49,72750.47,71828.48,72026.04,72668.07,72815.95,73699.83,71959.1,70729.52,73405.83,71026.62,72194.65,72327.79,73126.75,73746.9
6,73805.58,75153.734,74986.484,73750.734,74004.78,74115.2,74397.96,74514.016,74608.5,73706.23,73215.03,74650.13,72937.14,72801.87,74049.56,75411.38,75988.67
7,79056.51,77328.2,78534.79,78211.23,79627.414,79373.875,79347.01,79277.4,79686.51,78472.734,78296.58,80126.016,77412.086,79094.37,79508.52,79817.47,81319.1
8,83898.484,81868.76,84692.78,83924.92,84690.125,83892.53,83926.83,85405.83,84358.46,82956.45,83243.63,84690.04,83511.87,84671.77,83896.57,84713.01,85744.01
9,91839.11,89631.35,92344.055,91058.99,91383.84,90694.14,90939.23,92219.71,91733.03,89634.375,90506.266,91639.25,90944.05,91518.234,90686.48,92480.59,91645.586
10,99426.195,99277.24,100329.234,99398.57,100633.53,99687.84,99507.35,101135.63,99494.65,99400.58,100133.44,98683.39,99394.805,99189.12,98925.13,102381.87,102037.38
11,98897.51,96054.61,98490.516,98352.64,99660.42,98770.28,98448.086,99328.555,99428.12,98101.25,97935.38,99239.3,98711.766,98971.375,97784.49,100340.195,100933.44
12,95580.65,95016.78,96093.24,96391.48,96843.555,96010.414,95532.67,97133.836,96528.99,95628.4,95757.055,95789.78,96914.68,95978.56,95119.42,97798.336,97435.055
13,92231.01,91827.305,92990.836,92273.18,91992.48,92874.68,92013.82,93052.68,92827.37,91509.55,90619.695,92223.98,92759.94,92622.38,90734.09,94035.9,94554.32
14,95128.12,93389.086,95054.96,95280.14,95261.305,95146.125,95009.086,96057.375,95258.3,93850.695,93208.01,95782.875,96677.08,95566.44,95169.72,96023.38,94968.17
15,97855.07,96519.78,97379.69,96999.39,98451.63,98265.78,97736.25,99139.42,96659.36,96758.89,96352.83,97510.27,99627.15,98514.94,97459.67,99042.516,99092.42
16,94796.836,93687.125,96175.45,93376.57,94588.58,95903.91,94390.89,95405.836,95530.3,94197.64,91658.39,92537.84,97136.11,95213.09,92513.73,95832.89,96310.98
17,97239.98,93227.6,97723.31,94669.94,95032.23,95568.945,94136.3,96549.6,96841.484,94432.83,90266.31,93105.55,97994.25,97323.73,93154.88,95969.01,94280.23
18,97714.36,98348.44,98752.37,97342.96,97760.92,98787.305,98498.43,99548.71,97673.88,97391.29,95970.16,95169.17,99856.59,98518.3,97619.836,100211.266,97728.68
19,97646.17,96840.77,97509.48,95524.766,96506.414,97320.266,97942.664,98055.96,96422.86,96113.414,95482.82,96471.13,98482.2,98546.37,97384.875,98116.695,96832.19
20,90818.63,89805.47,91565.164,88805.97,89247.88,90661.12,91505.79,90653.695,92233.766,89974.61,87553.63,89456.76,90157.74,91088.14,89777.2,90844.72,90758.484
21,91778.58,91128.945,91513.98,90767.37,90002.516,90162.57,91217.46,92333.41,91799.55,90525.945,89222.14,90002.125,91461.59,92035.555,90712.33,91229.58,90368.0
22,87063.01,87103.35,88072.164,86126.11,85801.086,86141.59,87449.46,88265.45,87408.555,86249.945,85651.27,86384.48,86936.21,87038.16,86851.68,87240.195,87672.9
23,85251.41,85239.39,85655.92,85946.35,85871.71,85412.58,87355.13,86557.945,86565.56,85780.17,85257.19,86698.42,86040.11,86253.76,87332.54,85696.11,86732.65
24,80133.38,79234.46,81925.805,80499.12,80486.62,80633.27,81884.914,81272.555,81412.06,80310.07,79392.91,81197.234,80963.164,81582.19,81764.36,80674.37,81967.53
25,77167.555,77274.88,79384.945,77199.0,76516.43,77961.234,78546.945,78195.66,78319.52,77656.85,75295.99,77363.56,76556.95,77721.74,77933.484,78097.36,79213.445
26,69920.76,70439.336,75255.95,72734.375,73317.695,72402.03,74093.74,75009.41,75679.84,72217.35,71203.88,73859.44,72870.375,75375.53,75352.92,74289.88,73427.42
27,72281.71,72254.08,74331.65,73976.5,73906.625,73026.59,74511.34,74177.55,74248.78,72765.29,71998.12,75667.66,74067.83,75338.09,76326.08,73959.61,73697.3
28,66622.48,67501.24,72038.984,68222.375,69142.71,68791.22,69315.45,69893.38,71222.85,68462.15,68465.266,69522.234,68654.07,69738.65,69206.68,70644.87,71221.11
29,69682.97,70993.86,73395.164,72125.29,72173.586,71439.89,71936.99,72809.65,73439.85,71876.805,71247.055,72603.55,70694.69,72229.98,71712.0,73037.695,73230.875
30,70352.39,71324.195,74498.27,72072.766,73389.164,72381.41,73176.34,73638.52,74272.82,72291.78,71845.71,73204.48,71509.7,72540.21,73033.96,74501.68,74513.805
31,73913.42,73011.664,77702.195,75731.57,78410.98,76220.695,77344.58,78599.51,78795.11,74557.86,74359.3,78135.86,76219.15,78215.336,77966.49,78889.14,78056.68
32,75828.51,75017.414,82046.01,78289.73,81240.84,78773.08,80122.15,82382.03,81539.74,77044.18,77673.375,81358.59,80102.28,81835.1,81159.76,81497.35,80605.78
33,73542.34,73057.52,84311.77,78102.95,82817.164,78549.76,80828.15,84402.12,83892.0,77143.78,78575.28,82079.55,80907.78,84731.414,81478.5,83672.695,80382.4
34,61567.75,62182.26,82952.695,72048.52,79278.586,71650.484,76532.69,82681.69,82533.03,70550.15,70938.93,77205.88,75283.805,82207.51,77556.65,81097.76,74244.414
35,50862.992,50442.91,72752.0,59756.656,68086.62,57779.438,64720.348,73359.24,74586.07,55806.965,59154.15,67549.9,64680.49,73653.86,67253.914,70403.25,60956.77
