,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
rmse_test,19646.702778694817,17874.95655786492,11221.025366775108,17114.1112943704,15846.335838952811,20157.764177929334,18153.412487808382,17569.956234565492,16923.476513014648,14492.611961207733,18017.26455256154,11910.81817139424,19655.634244526,17849.18152532172,13301.057829297322,10755.06381498197,17319.26592165118
r2_test,-3.9100231576350506,-2.3355122315555854,-0.4068332008664861,-1.9126204457693916,-2.042906045202375,-3.2769493711111233,-2.395533322382,-2.6450049702090883,-1.8563466876521186,-1.4221779090198963,-2.4800371855145324,-0.7001312867722576,-3.570858143611403,-2.278884315211195,-1.070755137026636,-0.15250819608033073,-2.242416947333549
mae_test,17527.516223005932,15108.825850908299,9015.588967794325,14119.365719775447,13077.971989347137,17693.72307114889,15426.660243847557,14995.342725712846,13784.68719982672,11512.732948548288,15221.236290004725,9281.772088569573,17366.012884515058,14926.098591856035,10581.23131416285,8732.535649987567,14511.364323038833
