,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
rmse_test,20165.28104515421,17823.778254627137,14086.997308118922,18151.77077238513,26890.6019842574,17826.86308274863,17840.968176094506,17648.477317959165,17530.40221243601,10354.714752406338,22416.406015658646,18374.362818571793,11205.049923746878,10032.541534234419,20631.610305308663,17135.07847102147,18001.497181367173
r2_test,-4.002552961133485,-2.2082240555354278,-0.9434237777772156,-2.775991745460315,-6.465536777830647,-2.4419973631460676,-2.7743188035506328,-2.2644019840547984,-2.39178538974683,-0.3721904916446075,-4.026072388853331,-2.7692500517531133,-0.5435341214241076,-0.07415778143993457,-3.901940523275827,-2.4384249577249615,-2.9067989775806593
mae_test,18025.233534611263,14959.309200451142,10879.2367290656,15732.39594861791,25014.021396275053,15265.775973972743,15424.060052944233,14862.635532317328,14736.578070320928,8352.810881127834,20174.858795564694,15745.897786295798,8857.641140829632,8128.278203871741,18410.130588575576,14689.783500882653,15517.459319321906
