,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
rmse_test,16555.746860118445,21599.453717447344,17828.96002471507,12108.9081196535,13290.122288272823,17999.21582417626,18468.97977987763,18320.006047039536,17452.391665194908,11775.916036586765,17947.092822781455,17180.59628051556,20397.26623015608,16261.031155373114,14986.015787253551,21077.597703092753,15284.716424994453
r2_test,-2.4168323285791287,-4.106539295771603,-2.3826440101220774,-0.5446678410053425,-1.1328531731789009,-3.116567638794365,-2.8867107760851733,-2.362526054948537,-2.3096445847493925,-0.5751101906279004,-2.42727818013372,-2.3679475793469162,-3.087339499393946,-1.7709224453783872,-1.2935522094131588,-3.9992851515514865,-1.4032736648407171
mae_test,13939.599821767852,19359.98148927394,15013.058405332054,9601.053130250531,10565.639182989784,15655.924823426107,16006.769114128272,15780.964456032449,14821.663131163901,9316.156379646683,15424.809607621637,14642.911845632161,17869.780588064204,13396.78194280721,12015.59052005403,18850.08067918534,12358.229965703224
