,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
rmse_test,12203.955417375924,13384.874789547137,10782.202341935756,17587.05212991477,13670.41793276764,14821.810904842938,13169.656643077245,9965.506786244683,16962.714426785988,10466.407745104,16393.438215457776,15770.20822700969,26150.454911898785,10656.60787277753,16376.349205061782,13244.44593944602,16974.686475286675
r2_test,-0.8043663768192946,-0.8829857890205379,-0.3351963968477254,-2.36878266368417,-1.1463374386264342,-1.3853577053722148,-0.916713037914467,-0.1298210177888517,-2.0405719284919708,-0.3215586916215951,-1.8852644216202026,-1.3559930152587847,-6.278085393912395,-0.22188102492441053,-2.218934979657332,-1.022929740586891,-2.3733589054157505
mae_test,9588.052919489353,10765.029709081447,8459.621656849771,14907.028713007485,10978.012713583947,11957.544469413644,10290.501275185914,8299.293644636742,13965.968799723443,8446.07748176125,13491.681082776882,12622.526788521958,24299.83469583888,8569.879576829842,13692.944703112305,10487.197107275004,14313.43597448254
