,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
rmse_test,11108.888140436362,18921.478010245068,15292.979831082775,17197.18471749795,28267.10745799937,11377.07152148897,18034.72403365805,15407.0213091811,16709.264880849034,15047.425986539627,26885.321925205237,21812.638035833592,15780.914149616592,17667.959128898055,25377.96926763754,9482.248242416466,14149.885282922707
r2_test,-0.29383209679330347,-3.0090088036255898,-1.4795278291287342,-2.202253336265432,-6.769369740122786,-0.40457228413371915,-2.7225043372263666,-1.4842251385254235,-2.2767800508147062,-1.6302375393897508,-6.153603422074192,-4.355956022091432,-1.6454783437447884,-2.22175839204905,-6.416034815448175,-0.047904939727469786,-0.9878114260003366
mae_test,8807.042758955145,16470.87011509827,12574.899102201254,14469.008564294209,26379.94369693313,9041.924574703919,15439.634704975191,12459.107638052534,14132.178021131034,12146.960476712266,24926.708474087784,19664.096868872275,12865.750891563854,14787.29135247035,23598.62715701996,7892.46432602388,11309.735143093807
