,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
1,64050.82509778753,57120.560839840546,65360.86498628423,60984.52159564958,64321.33831500078,67309.8651093338,62150.495841965814,63178.99229508825,69069.61553595049,61006.076213208966,63463.30435838215,77556.04181391338,74579.15363216588,65849.90033826635,73767.42246939197,68496.10255519795,65003.78552424417
2,56579.4899081957,60043.82345552539,65090.6959399685,59253.27419195383,49939.01912969694,59535.91663790895,59390.30328855722,60018.19771551411,60095.26441353259,69737.20250119963,55322.48341827556,59890.90284909635,67468.73427697159,72723.56531790867,56665.319250945635,60034.17665182811,59639.23423865203
3,56579.17351919328,60043.632187358024,65090.63974164685,59253.089245349416,49938.22457036164,59535.73331289129,59390.07935236786,60018.02231630073,60095.09341614743,69737.19077617582,55322.10005462512,59890.7218710845,67468.70267727153,72723.57199507247,56664.99844854222,60034.02259482701,59639.046851803
4,56578.85745690161,60043.441064019156,65090.583567751884,59252.9044388937,49937.43144570879,59535.55012671757,59389.85560146086,60017.847047175084,60094.92254143854,69737.17905481011,55321.717126575895,59890.54103016011,67468.6710888851,72723.57867019779,56664.67798112544,60033.868646067276,59638.85960460256
5,56578.5417208145,60043.250085344225,65090.527418267644,59252.719772427634,49936.63975185384,59535.36707923017,59389.63203560646,60017.67190799244,60094.75178927382,69737.16733710069,55321.33463338528,59890.36032616743,67468.63951180618,72723.58534328552,56664.357848169944,60033.714805434734,59638.67249689445
6,56578.226310426704,60043.059251168845,65090.471293178285,59252.535245791834,49935.849484926126,59535.18417027117,59389.40865457484,60017.49689860809,60094.581159521345,69737.15562304598,55320.95257431222,59890.1797589507,67468.60794602885,72723.59201433651,56664.0380491524,60033.56107281542,59638.485528522804
7,56577.91122523418,60042.868561329014,65090.41519246776,59252.35085882745,49935.0606410693,59535.00139968345,59389.185458136686,60017.32201887775,60094.410652049424,69737.14391264427,55320.57094861764,59889.99932835484,67468.57639154691,72723.59868335175,56663.71858354994,60033.40744809556,59638.29869933203
8,56577.59646473378,60042.67801566077,65090.35911612027,59252.16661137597,49934.27321644037,59534.81876730983,59388.96244606319,60017.14726865725,60094.240266726556,69737.1322058938,55320.18975556403,59889.81903422443,67468.54484835434,72723.6053503321,56663.399450840836,60033.25393116135,59638.1120091664
9,56577.28202842349,60042.48761400078,65090.30306411992,59251.982503278705,49933.4872072105,59534.636272993404,59388.739618125735,60016.972647802526,60094.070003421446,69737.120502793,55319.80899441553,59889.638876404744,67468.51331644508,72723.61201527868,56663.08065050493,60033.100521899425,59637.92545787073
10,56576.96791580229,60042.29735618534,65090.24703645095,59251.79853437777,49932.702609564774,59534.453916577775,59388.51697409628,60016.79815617012,60093.89986200295,69737.10880333988,55319.428664437524,59889.45885474104,67468.48179581309,72723.61867819226,56662.76218202254,60032.94722019632,59637.73904528995
11,56576.65412637018,60042.10724205174,65090.1910330973,59251.61470451499,49931.91941970139,59534.27169790622,59388.294513746965,60016.623793616294,60093.72984234007,69737.097107533,55319.04876489791,59889.278969078834,67468.45028645232,72723.62533907374,56662.44404487552,60032.79402593902,59637.55277126941
12,56576.34065962828,60041.91727143701,65090.13505404329,59251.43101353274,49931.13763383278,59534.08961682286,59388.07223685044,60016.44955999781,60093.55994430196,69737.08541537053,55318.66929506575,59889.099219264084,67468.41878835668,72723.63199792423,56662.12623854664,60032.64093901427,59637.36663565447
13,56576.027515078575,60041.727444178425,65090.07909927312,59251.24746127365,49930.35724818473,59533.907673171765,59387.85014317962,60016.27545517164,60093.39016775835,69737.07372685082,55318.2902542117,59888.91960514268,67468.38730152018,72723.6386547445,56661.808762519446,60032.48795930942,59637.18063829077
14,56575.71469222415,60041.53776011382,65090.02316877086,59251.064047580236,49929.57825899641,59533.72586679704,59387.62823250793,60016.101478994824,60093.22051257853,69737.06204197215,55317.91164160812,59888.74012656096,67468.35582593683,72723.64530953554,56661.49161627924,60032.33508671167,59636.994779024164
15,56575.402190569264,60041.34821908093,65089.967262520804,59250.88077229581,49928.80066252062,59533.54419754348,59387.406504609,60015.92763132458,60093.050978632535,69737.05036073278,55317.53345652918,59888.56078336529,67468.32436160048,72723.65196229822,56661.17479931176,60032.1823211084,59636.80905770096
16,56575.090009619016,60041.15882091804,65089.91138050711,59250.69763526337,49928.02445502366,59533.362665255736,59387.184959257036,60015.75391201874,60092.88156579009,69737.03868313109,55317.15569825069,59888.38157540277,67468.29290850517,72723.65861303352,56660.858311104035,60032.029662387344,59636.62347416727
17,56574.77814887939,60040.969565463434,65089.85552271414,59250.51463632661,49927.24963278475,59533.18126977883,59386.963596226466,60015.5803209348,60092.71227392156,69737.02700916535,55316.778366049766,59888.20250251992,67468.26146664476,72723.66526174234,56660.54215114422,60031.87711043623,59636.43802826989
18,56574.46660785782,60040.780452555904,65089.79968912601,59250.33177532909,49926.476192096816,59533.00001095812,59386.742415292145,60015.406857930895,60092.54310289732,69737.01533883381,55316.40145920548,59888.02356456414,67468.23003601344,72723.67190842559,56660.226318921574,60031.72466514298,59636.25271985546
19,56574.155386062346,60040.59148203413,65089.743879726986,59250.14905211488,49925.70412926582,59532.81888863902,59386.52141622924,60015.23352286509,60092.37405258779,69737.00367213483,55316.02497699848,59887.84476138285,67468.19861660499,72723.67855308435,56659.91081392625,60031.57232639556,59636.06754877108
20,56573.844483002096,60040.40265373728,65089.68809450143,59249.966466527956,49924.93344061089,59532.637902667295,59386.300598813345,60015.060315595845,60092.20512286386,69736.99200906666,55315.64891871078,59887.666092823725,67468.16720841358,72723.68519571939,56659.5956356495,60031.42009408225,59635.88251486404
21,56573.533898187445,60040.213967504686,65089.632333433605,59249.784018413004,49924.16412246435,59532.45705288873,59386.07996282051,60014.88723598167,60092.03631359624,69736.98034962766,55315.273283626484,59887.487558734676,67468.13581143311,72723.6918363316,56659.28078358383,60031.2679680916,59635.6976179818
22,56573.22363112935,60040.02542317614,65089.57659650779,59249.60170761458,49923.39617117129,59532.27633914989,59385.859508026915,60014.714283881345,60091.86762465611,69736.96869381616,55314.898071030926,59887.30915896358,67468.10442565754,72723.698474922,56658.96625722242,60031.11594831198,59635.512857972135
23,56572.913681340244,60039.83702059132,65089.52088370824,59249.419533977554,49922.62958309009,59532.09576129688,59385.639234209375,60014.54145915409,60091.699055914774,69736.95704163038,55314.52328021116,59887.130893359055,67468.0730510809,72723.7051114915,56658.652056059764,60030.96403463218,59635.32823468289
24,56572.60404833326,60039.64875959027,65089.46519501932,59249.23749734706,49921.86435459187,59531.91531917638,59385.419141144754,60014.36876165887,60091.530607243665,69736.94539306867,55314.14891045586,59886.95276176963,67468.04168769724,72723.71174604105,56658.33817959142,60030.81222694109,59635.14374796227
25,56572.29473162252,60039.46064001345,65089.409530425524,59249.05559756848,49921.10048206082,59531.73501263544,59385.199228610814,60014.19619125524,60091.36227851451,69736.93374812936,55313.77496105515,59886.77476404402,67468.01033550044,72723.71837857146,56658.02462731392,60030.66052512752,59634.959397658764
26,56571.98573072323,60039.27266170134,65089.35388991105,59248.87383448747,49920.33796189379,59531.55484152105,59384.97949638494,60014.02374780281,60091.19406959907,69736.92210681076,55313.401431301056,59886.59690003122,67467.97899448479,72723.72500908373,56657.71139872476,60030.50892908093,59634.77518362085
27,56571.67704515165,60039.08482449484,65089.298273460365,59248.69220794968,49919.576790500374,59531.37480568052,59384.75994424553,60013.851431161354,60091.02598036935,69736.91046911116,55313.02832048702,59886.419169580564,67467.94766464406,72723.7316375788,56657.39849332276,60030.3574386904,59634.5911056974
28,56571.36867442487,60038.89712823473,65089.24268105771,59248.51071780131,49918.81696430293,59531.19490496145,59384.54057197107,60013.679241191036,60090.85801069752,69736.89883502883,55312.655627907974,59886.24157254149,67467.9163459724,72723.73826405758,56657.08591060725,60030.20605384562,59634.407163737465
29,56571.06061806105,60038.70957276263,65089.187112687534,59248.3293638887,49918.05847973633,59531.01513921183,59384.3213793404,60013.50717775202,60090.69016045599,69736.88720456212,55312.283352860504,59886.064108763705,67467.88503846363,72723.74488852092,56656.77365007908,60030.054774435965,59634.22335759034
30,56570.75287557936,60038.52215791986,65089.131568334364,59248.14814605823,49917.30133324821,59530.83550827938,59384.10236613272,60013.33524070475,60090.5224295174,69736.87557770943,55311.91149464298,59885.88677809724,67467.85374211211,72723.75151096981,56656.46171123996,60029.90360035151,59634.03968710569
